FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
16063,16.646066235,29.5,20.6,15.489987227,4.4837980407,18.9,18.985667034,18.878610000000002,6.7,10.1,274.1
16065,15.952236338,26.1,15.1,16.309281176,2.4695584136,17.8,9.0776615807,65.3202,7.6,36.4,211.4
16067,14.448150113,35.9,23.7,14.650628722,3.2621753997,20.8,19.418960245,29.324080000000002,7.3,13.4,320.1
16069,14.804073376,32.2,23.1,16.752071439,3.3518483049,18.2,11.220447686,62.42509,7.6,21.9,360.3
16071,14.44976485,30.3,21.3,16.198442797,3.734439834,18.0,11.837093466,23.35903,6.5,15.5,278.8
16073,17.200456622,31.7,24.0,14.771091364,4.5227062095,24.8,24.444928167,8.84173,7.5,11.2,370.6
16075,15.705857654,33.7,26.4,14.973578079,4.7335172168,20.8,15.122003425,34.9406,8.8,14.2,326.9
16077,16.41297997,31.9,25.4,14.590952918,4.1997439181,23.3,18.48817437,26.15063,6.8,15.9,412.1
16079,16.150768137,29.7,25.3,14.363223461,7.3228346457,25.2,13.046218487,32.17503,6.6,11.6,514.8
16081,14.618445783,24.2,19.3,18.442142978,3.2188125417,13.2,19.522618303,47.330560000000006,6.2,41.5,202.8
16083,15.724623303,30.7,23.7,16.36647814,3.3806158256,18.1,14.97418494,74.05158999999999,7.4,20.6,350.4
16085,13.23783792,23.4,17.5,16.922518742,5.5555555556,15.4,13.540866001,158.3688,6.3,30.1,257.6
16087,16.955555211,31.2,26.4,13.322198015,5.6616194865,22.2,17.518636848,70.11218000000001,7.2,14.8,284.0
17001,15.22048388,33.1,24.8,20.462083242,4.8101265823,17.0,5.5545140972,82.07363,10.1,24.8,360.0
17003,23.704228826,28.0,25.2,14.355090353,9.2488059053,48.6,6.8333333333,14.74926,10.4,11.3,618.6
17005,17.240871495,29.6,26.3,20.870904722,5.1385900519,18.4,6.0458313018,58.99705000000001,10.4,21.8,375.5
17007,15.303027657,32.4,24.4,20.55337183,6.3495079226,13.2,7.8978466387,52.253429999999994,10.6,23.2,283.5
17009,16.943482396,26.7,24.3,23.775158143,3.3856893543,16.2,4.7113642247,14.643429999999999,9.8,13.7,253.6
17011,15.096452789,27.2,24.7,20.029128593,6.0508269463,18.6,6.4394935567,47.637480000000004,10.7,19.7,364.5
17013,14.936667169,29.2,26.7,20.173320912,6.2526404732,13.9,5.7712765957,40.82466,10.6,13.6,217.8
17015,14.67440357,27.3,24.8,19.621468724,5.6560509554,18.3,6.5245009074,34.20909,10.4,18.1,344.3
17017,15.941979721,30.0,26.3,20.339494481,5.6197816313,19.0,8.3858230704,,10.2,14.6,424.2
17019,16.2697407,25.7,21.2,21.812053961,5.1046224082,15.9,6.5695188422,94.3211,10.6,44.4,294.6
17021,17.215773466,29.9,27.4,20.844308007,6.3326601082,18.6,5.6423912624,38.64217,10.5,16.6,388.4
17023,16.962875588,32.5,26.7,19.857906809,5.8736426456,17.9,5.4754149217,37.54928,10.5,17.6,429.0
17025,17.512417321,28.9,27.8,20.4575024,6.838883082,21.1,6.1784684098,14.894250000000001,10.3,15.2,413.6
17027,15.044498933,29.9,23.9,23.926630112,4.476806904,12.2,4.7434526991,42.34373,10.7,22.5,280.3
17029,18.899441383,28.8,24.2,20.991320483,5.9122591226,21.0,6.159235204,76.16001,10.4,25.6,363.3
17031,13.986590669,26.8,21.1,22.304049957,6.1504545426,21.3,10.629555879,94.15419,14.0,38.0,335.5
17033,15.64020753,30.4,23.1,21.698838869,6.2458398047,20.1,5.4916281954,56.660140000000006,10.7,16.6,386.1
17035,16.798830388,29.0,24.2,20.374747703,5.2356902357,17.4,6.0089686099,,10.4,15.8,338.2
17037,17.100195846,28.5,19.3,23.974465995,5.3525447872,15.3,7.0186765045,35.456920000000004,11.1,31.4,277.8
17039,15.082572805,29.0,22.7,21.118152148,5.7481519245,17.1,4.8148712479,36.92989,10.4,21.3,374.5
17041,16.251711834,29.1,24.9,20.949397027,4.7247169075,14.3,9.0351196986,25.22323,10.5,19.0,334.6
17043,12.470229311,24.2,18.5,22.420154125,4.7906303471,9.1,5.9353700243,133.12114,12.2,48.8,212.0
17045,16.689781347,28.3,24.3,19.683043926,5.9991725279,20.5,6.5746172557,22.644930000000002,10.5,16.7,411.0
17047,15.364319088,29.2,24.5,20.883431473,5.8308055275,15.8,6.0629316961,,10.4,13.9,386.9
17049,15.322178112,29.5,23.2,21.305542927,4.7407089612,15.0,4.7152177746,81.46402,10.4,22.5,323.1
17051,18.381310231,26.7,24.0,20.610433692,6.6936488169,22.9,7.7105071585,13.60976,10.3,11.7,375.4
17053,16.001353557,25.7,24.3,20.079889431,5.467800729,17.0,6.303174458,72.8014,10.6,20.2,381.5
